date,age_group,total_hospitalised,total_icu
2021-10-10,50 to 59,73,4
2021-10-10,60 to 69,39,4
2021-10-10,70 to 79,32,4
2021-10-10,80 to 89,8,0
2021-10-10,90+,6,0
2021-10-10,Total,297,19
2021-10-11,0 to 9,6,0
2021-10-11,10 to 19,7,1
2021-10-11,20 to 29,30,1
2021-10-11,30 to 39,38,2
2021-10-11,40 to 49,58,3
2021-10-11,50 to 59,74,4
2021-10-11,60 to 69,39,4
2021-10-11,70 to 79,32,4
2021-10-11,80 to 89,8,0
2021-10-11,90+,6,0
2021-10-11,Total,298,19
2021-10-12,0 to 9,7,0
2021-10-12,10 to 19,7,1
2021-10-12,20 to 29,32,1
2021-10-12,30 to 39,39,2
2021-10-12,40 to 49,59,3
2021-10-12,50 to 59,74,4
2021-10-12,60 to 69,39,4
2021-10-12,70 to 79,32,4
2021-10-12,80 to 89,8,0
2021-10-12,90+,6,0
2021-10-12,Total,303,19
2021-10-13,0 to 9,8,0
2021-10-13,10 to 19,7,1
2021-10-13,20 to 29,33,1
2021-10-13,30 to 39,40,2
2021-10-13,40 to 49,61,3
2021-10-13,50 to 59,74,4
2021-10-13,60 to 69,40,4
2021-10-13,70 to 79,32,4
2021-10-13,80 to 89,8,0
2021-10-13,90+,6,0
2021-10-13,Total,309,19
2021-10-14,0 to 9,8,0
2021-10-14,10 to 19,8,1
2021-10-14,20 to 29,33,1
2021-10-14,30 to 39,40,2
2021-10-14,40 to 49,61,3
2021-10-14,50 to 59,74,4
2021-10-14,60 to 69,40,4
2021-10-14,70 to 79,32,4
2021-10-14,80 to 89,8,0
2021-10-14,90+,6,0
2021-10-14,Total,310,19
2021-10-15,0 to 9,8,0
2021-10-15,10 to 19,8,1
2021-10-15,20 to 29,33,3
2021-10-15,30 to 39,42,6
2021-10-15,40 to 49,62,7
2021-10-15,50 to 59,74,11
